"","year","age","value","model","value_lower","value_upper"
"360",1965,5,0.00607172060968921,"Independent model + rho",0.00105285421830252,0.0277376859508493
"361",1966,5,0.00651697568728436,"Independent model + rho",0.00105300112613071,0.0283758492160979
"362",1967,5,0.00948861558173078,"Independent model + rho",0.00146993223379805,0.0466712390012175
"363",1968,5,0.147874528523883,"Independent model + rho",0.0753782520867309,0.232442020379381
"364",1969,5,0.207312993513947,"Independent model + rho",0.136082046557389,0.281567910328521
"365",1970,5,0.0196049215393404,"Independent model + rho",0.00463961109185742,0.0497540176894704
"366",1971,5,0.0261277555927815,"Independent model + rho",0.0055683749654015,0.0607613956360351
"367",1972,5,0.00484345802473574,"Independent model + rho",0.000772323383007859,0.0259805401709516
"368",1973,5,0.00544067086053221,"Independent model + rho",0.00110315463442168,0.0262901951032222
"369",1958,6,NA,"Independent model + rho",NA,NA
"370",1959,6,NA,"Independent model + rho",NA,NA
"371",1960,6,NA,"Independent model + rho",NA,NA
"372",1961,6,NA,"Independent model + rho",NA,NA
"373",1962,6,NA,"Independent model + rho",NA,NA
"374",1963,6,0.0100066999154674,"Independent model + rho",0.00130949263378021,0.0621338158555204
"375",1964,6,0.0115793780103207,"Independent model + rho",0.00158442747196989,0.054094871108996
"376",1965,6,0.0058076173598151,"Independent model + rho",0.000981969932548534,0.0257321267524117
"377",1966,6,0.00564564840731702,"Independent model + rho",0.000892543648552766,0.0243231748428849
"378",1967,6,0.00921072877188719,"Independent model + rho",0.00139756799977896,0.0463110342354777
"379",1968,6,0.144981635535402,"Independent model + rho",0.0737102335044553,0.228376915235364
"380",1969,6,0.203647171528227,"Independent model + rho",0.134013773685692,0.27907360493883
"381",1970,6,0.0194223158314052,"Independent model + rho",0.0046165105724901,0.0496078816193212
"382",1971,6,0.0258512205127668,"Independent model + rho",0.00554700981212754,0.0592652653753734
"383",1972,6,0.00479048317207293,"Independent model + rho",0.000760071841203486,0.0257124467727975
"384",1973,6,0.00473524122855754,"Independent model + rho",0.000919166001119571,0.0227760064971292
"385",1958,7,NA,"Independent model + rho",NA,NA
"386",1959,7,NA,"Independent model + rho",NA,NA
"387",1960,7,NA,"Independent model + rho",NA,NA
"388",1961,7,NA,"Independent model + rho",NA,NA
"389",1962,7,NA,"Independent model + rho",NA,NA
"390",1963,7,NA,"Independent model + rho",NA,NA
"391",1964,7,0.0113545927494396,"Independent model + rho",0.00153731046232693,0.0538419918543377
"392",1965,7,0.00571854003027316,"Independent model + rho",0.000970263351878477,0.025346415170513
"393",1966,7,0.00545052742662472,"Independent model + rho",0.000868624142849451,0.0241204025973952
"394",1967,7,0.00800039785850766,"Independent model + rho",0.00121520024406319,0.0408777510584995
"395",1968,7,0.138761884982712,"Independent model + rho",0.0693723352646555,0.219635071243149
"396",1969,7,0.201014730693811,"Independent model + rho",0.130523106285538,0.272080631836302
"397",1970,7,0.0190151230834609,"Independent model + rho",0.00457260749425002,0.0484190385631548
"398",1971,7,0.0256265046960029,"Independent model + rho",0.00550182946669754,0.058800800743114
"399",1972,7,0.00475147008071082,"Independent model + rho",0.000749689168253945,0.0254599379163507
"400",1973,7,0.00469299321594744,"Independent model + rho",0.000906359890475937,0.0226332886607432
"401",1958,8,NA,"Independent model + rho",NA,NA
"402",1959,8,NA,"Independent model + rho",NA,NA
"403",1960,8,NA,"Independent model + rho",NA,NA
"404",1961,8,NA,"Independent model + rho",NA,NA
"405",1962,8,NA,"Independent model + rho",NA,NA
"406",1963,8,NA,"Independent model + rho",NA,NA
"407",1964,8,NA,"Independent model + rho",NA,NA
"408",1965,8,0.00564673504490354,"Independent model + rho",0.000966626466683363,0.0252664483640454
"409",1966,8,0.00540600942494002,"Independent model + rho",0.000865996216874898,0.0237933544394747
