"","year","age","value","model","value_lower","value_upper"
"101",1962,7,NA,"Two-outbreak model",NA,NA
"102",1963,7,NA,"Two-outbreak model",NA,NA
"103",1964,7,0.000340012367157226,"Two-outbreak model",8.35498748922762e-08,0.0327355286454979
"104",1965,7,2.83660131747898e-05,"Two-outbreak model",1.11628286151473e-08,0.00243392662037081
"105",1966,7,4.99029834223317e-07,"Two-outbreak model",5.13064122038242e-08,0.0278154162572602
"106",1967,7,0.000185010428725072,"Two-outbreak model",3.51842006071583e-05,0.114737506039143
"107",1968,7,0.0151127587274689,"Two-outbreak model",0.00494368005759269,0.124870905098992
"108",1969,7,0.127842377681317,"Two-outbreak model",0.0498067649333576,0.191193551122994
"109",1970,7,0.178847894282466,"Two-outbreak model",0.0981011502595281,0.228255714321021
"110",1971,7,0.0346635745980508,"Two-outbreak model",0.017645728512787,0.0627635102847851
"111",1972,7,0.00111080918702443,"Two-outbreak model",0.00033715787818588,0.00340939172436653
"112",1973,7,4.90041561628887e-06,"Two-outbreak model",8.59720050372469e-07,3.07197639575933e-05
"113",1958,8,NA,"Two-outbreak model",NA,NA
"114",1959,8,NA,"Two-outbreak model",NA,NA
"115",1960,8,NA,"Two-outbreak model",NA,NA
"116",1961,8,NA,"Two-outbreak model",NA,NA
"117",1962,8,NA,"Two-outbreak model",NA,NA
"118",1963,8,NA,"Two-outbreak model",NA,NA
"119",1964,8,NA,"Two-outbreak model",NA,NA
"120",1965,8,2.83660130934742e-05,"Two-outbreak model",1.11626318366701e-08,0.00243392662037003
"121",1966,8,4.98678521424025e-07,"Two-outbreak model",5.13053034488726e-08,0.0278154162572602
"122",1967,8,0.000184036173478803,"Two-outbreak model",3.5049585034869e-05,0.114737506039143
"123",1968,8,0.0140365738919947,"Two-outbreak model",0.00471811738364568,0.124870905098992
"124",1969,8,0.115168288124229,"Two-outbreak model",0.0498067649333444,0.17732944226743
"125",1970,8,0.171785308855703,"Two-outbreak model",0.0981011502547972,0.219101329447516
"126",1971,8,0.0345391300227017,"Two-outbreak model",0.0175462929175077,0.0623150220771445
"127",1972,8,0.00110983480855682,"Two-outbreak model",0.000337116786927707,0.00340924710785796
"128",1973,8,4.8601841050649e-06,"Two-outbreak model",8.59719262338178e-07,3.06110794386225e-05
"129",1958,9,NA,"Two-outbreak model",NA,NA
"130",1959,9,NA,"Two-outbreak model",NA,NA
"131",1960,9,NA,"Two-outbreak model",NA,NA
"132",1961,9,NA,"Two-outbreak model",NA,NA
"133",1962,9,NA,"Two-outbreak model",NA,NA
"134",1963,9,NA,"Two-outbreak model",NA,NA
"135",1964,9,NA,"Two-outbreak model",NA,NA
"136",1965,9,NA,"Two-outbreak model",NA,NA
"137",1966,9,4.98677735439423e-07,"Two-outbreak model",5.13053021758688e-08,0.0278154162572602
"138",1967,9,0.000184035783066885,"Two-outbreak model",3.50454042668652e-05,0.114737506039143
"139",1968,9,0.013734944170854,"Two-outbreak model",0.00469085589503171,0.124870905098992
"140",1969,9,0.109362670246917,"Two-outbreak model",0.0498067649333444,0.160146405402973
"141",1970,9,0.155194109566086,"Two-outbreak model",0.098101150254797,0.196926367346305
"142",1971,9,0.0333170550160041,"Two-outbreak model",0.0168784554773151,0.0606059751519879
"143",1972,9,0.00110606991135666,"Two-outbreak model",0.0003343881633095,0.00340924687994095
"144",1973,9,4.85909961554876e-06,"Two-outbreak model",8.59718465337613e-07,3.06103273963764e-05
"145",1958,1,1.767925157381e-07,"Two-outbreak model + age risk",5.91075938194408e-11,4.69248010581678e-05
"146",1959,1,9.75588732557986e-05,"Two-outbreak model + age risk",2.19692837388763e-07,0.00473896121908816
"147",1960,1,0.00737090117612277,"Two-outbreak model + age risk",0.000110453882939621,0.0686441921152027
"148",1961,1,0.0709935343804009,"Two-outbreak model + age risk",0.00745523599068943,0.134783277161873
"149",1962,1,0.0873396613130683,"Two-outbreak model + age risk",0.0274095031741268,0.129526095572644
"150",1963,1,0.0186078013337354,"Two-outbreak model + age risk",0.000926620562446126,0.0845441134252943
"151",1964,1,0.000469268077442297,"Two-outbreak model + age risk",4.18376182164115e-06,0.0146641786017367
"152",1965,1,1.63916236023409e-06,"Two-outbreak model + age risk",7.05064329226124e-08,0.000331377013193523
"153",1966,1,5.28441182560124e-05,"Two-outbreak model + age risk",1.64172730934609e-05,0.000166414180460361
"154",1967,1,0.0060999739443649,"Two-outbreak model + age risk",0.00276752115527537,0.0128083358703837
"155",1968,1,0.0924658647507877,"Two-outbreak model + age risk",0.0609123806353895,0.135155649875332
"156",1969,1,0.185596312579092,"Two-outbreak model + age risk",0.148768196994094,0.230249368312263
"157",1970,1,0.0584333302969641,"Two-outbreak model + age risk",0.0340255506310651,0.0904448696492901
"158",1971,1,0.00238637832185967,"Two-outbreak model + age risk",0.000950656868250851,0.00537435925803029
"159",1972,1,1.27143361780546e-05,"Two-outbreak model + age risk",3.3765700348215e-06,4.15906525590815e-05
"160",1973,1,9.08879960181963e-09,"Two-outbreak model + age risk",1.67182757360163e-09,4.25612536963937e-08
"161",1958,2,NA,"Two-outbreak model + age risk",NA,NA
"162",1959,2,0.000102487928078538,"Two-outbreak model + age risk",2.27267147729249e-07,0.00491778440851062
"163",1960,2,0.00771374223044483,"Two-outbreak model + age risk",0.000115391657387344,0.0721437718245935
"164",1961,2,0.0732024302876403,"Two-outbreak model + age risk",0.00769002632562889,0.133508024692595
"165",1962,2,0.0849929114005601,"Two-outbreak model + age risk",0.0254050616780718,0.12622625233738
"166",1963,2,0.0176503178776273,"Two-outbreak model + age risk",0.000939963678478061,0.0813641571415573
"167",1964,2,0.000483064795589929,"Two-outbreak model + age risk",4.38272082443164e-06,0.0143522086581677
"168",1965,2,1.73117762937367e-06,"Two-outbreak model + age risk",7.35617297377754e-08,0.00034016240961356
"169",1966,2,5.48805689437585e-05,"Two-outbreak model + age risk",1.72254613463322e-05,0.000171167306764684
"170",1967,2,0.00640641576491104,"Two-outbreak model + age risk",0.00292502160865796,0.0137626426532423
"171",1968,2,0.0956203818743052,"Two-outbreak model + age risk",0.0628069959746739,0.138443997270911
"172",1969,2,0.175166941189822,"Two-outbreak model + age risk",0.140759177359673,0.214943695795109
"173",1970,2,0.0493368879514007,"Two-outbreak model + age risk",0.0298466754554036,0.0747552194095454
"174",1971,2,0.00234165459525934,"Two-outbreak model + age risk",0.000959786591130473,0.00502169525037484
"175",1972,2,1.3272611828407e-05,"Two-outbreak model + age risk",3.59451411615861e-06,4.29317481047014e-05
"176",1973,2,9.5444764901175e-09,"Two-outbreak model + age risk",1.77788902752309e-09,4.40844432379095e-08
"177",1958,3,NA,"Two-outbreak model + age risk",NA,NA
"178",1959,3,NA,"Two-outbreak model + age risk",NA,NA
"179",1960,3,0.00803584245208365,"Two-outbreak model + age risk",0.000120550504615067,0.0740693267676668
"180",1961,3,0.0759769088973001,"Two-outbreak model + age risk",0.00799365023715247,0.139017176743269
"181",1962,3,0.0869259109023666,"Two-outbreak model + age risk",0.0245262954548012,0.132854784528441
